symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-12-23 09:15:00,2630.17,2630.23,2629.17,2629.22,267,9,0
XAUUSD,2024-12-23 09:20:00,2629.15,2629.76,2627.82,2627.98,268,9,0
XAUUSD,2024-12-23 09:25:00,2627.99,2629.77,2627.64,2629.55,329,5,0
XAUUSD,2024-12-23 09:30:00,2629.55,2629.88,2629.17,2629.29,303,0,0
XAUUSD,2024-12-23 09:35:00,2629.28,2629.54,2628.42,2628.42,249,4,0
XAUUSD,2024-12-23 09:40:00,2628.45,2629.93,2628.42,2628.75,273,7,0
XAUUSD,2024-12-23 09:45:00,2628.75,2629.21,2628.42,2628.42,211,4,0
XAUUSD,2024-12-23 09:50:00,2628.42,2628.42,2626.45,2627.05,283,3,0
XAUUSD,2024-12-23 09:55:00,2627.03,2627.62,2626.03,2626.44,295,0,0
XAUUSD,2024-12-23 10:00:00,2626.31,2626.63,2625.06,2625.54,342,6,0
XAUUSD,2024-12-23 10:05:00,2625.56,2626.83,2625.52,2625.89,263,10,0
XAUUSD,2024-12-23 10:10:00,2625.89,2626.21,2624.78,2625.19,325,9,0
XAUUSD,2024-12-23 10:15:00,2625.11,2625.48,2623.21,2623.31,361,10,0
XAUUSD,2024-12-23 10:20:00,2623.3,2624.04,2622.83,2623.48,319,9,0
XAUUSD,2024-12-23 10:25:00,2623.49,2624.28,2623.1,2623.29,292,9,0
XAUUSD,2024-12-23 10:30:00,2623.3,2623.92,2621.66,2623.66,348,8,0
XAUUSD,2024-12-23 10:35:00,2623.65,2623.9,2621.54,2621.54,296,9,0
XAUUSD,2024-12-23 10:40:00,2621.66,2622.02,2620.19,2621.0,378,10,0
XAUUSD,2024-12-23 10:45:00,2621.0,2621.52,2619.13,2619.55,408,10,0
XAUUSD,2024-12-23 10:50:00,2619.61,2620.89,2619.03,2620.66,357,3,0
XAUUSD,2024-12-23 10:55:00,2620.65,2621.26,2619.04,2619.43,391,9,0
XAUUSD,2024-12-23 11:00:00,2619.42,2619.61,2617.62,2618.0,367,0,0
XAUUSD,2024-12-23 11:05:00,2618.07,2618.66,2616.94,2618.55,294,9,0
